Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
ST,ST6X15.9,ST6X15.9,15.9,4.65,6.0,6.0,,,,5.0,5.0,,,,0.35,0.375,0.1875,0.544,0.5625,,,,1.19,1.1875,,,1.51,,,0.48,4.6,,,,,17.1,14.8,5.94,3.3,1.78,4.66,3.22,1.87,1.0,,,,0.438,0.364,,,,,,,,2.39,0.731,,,,,,,,,,,,,,,,,,,,,,,3.0,
ST,ST5X17.5,ST5X17.5,17.5,5.14,5.0,5.0,,,,4.94,5.0,,,,0.594,0.625,0.3125,0.491,0.5,,,,1.13,1.125,,,1.56,,,0.673,5.03,,,,,8.42,12.5,6.58,3.62,1.56,4.15,3.1,1.68,0.899,,,,0.633,0.725,,,,,,,,2.23,0.653,,,,,,,,,,,,,,,,,,,,,,,2.75,
ST,ST5X12.7,ST5X12.7,12.7,3.72,5.0,5.0,,,,4.66,4.625,,,,0.311,0.3125,0.1875,0.491,0.5,,,,1.13,1.125,,,1.2,,,0.403,4.75,,,,,16.1,7.79,3.7,2.05,1.45,3.36,2.49,1.44,0.95,,,,0.3,0.173,,,,,,,,1.98,0.767,,,,,,,,,,,,,,,,,,,,,,,2.75,
ST,ST4X11.5,ST4X11.5,11.5,3.38,4.0,4.0,,,,4.17,4.125,,,,0.441,0.4375,0.25,0.425,0.4375,,,,1.0,1.0,,,1.15,,,0.439,4.91,,,,,9.07,5.0,3.19,1.76,1.22,2.13,1.84,1.02,0.795,,,,0.271,0.168,,,,,,,,1.73,0.704,,,,,,,,,,,,,,,,,,,,,,,2.25,
ST,ST4X9.2,ST4X9.2,9.2,2.7,4.0,4.0,,,,4.0,4.0,,,,0.271,0.25,0.125,0.425,0.4375,,,,1.0,1.0,,,0.942,,,0.336,4.71,,,,,14.8,3.49,2.07,1.14,1.14,1.84,1.59,0.922,0.827,,,,0.167,0.0642,,,,,,,,1.58,0.788,,,,,,,,,,,,,,,,,,,,,,,2.25,
ST,ST3X8.6,ST3X8.6,8.6,2.53,3.0,3.0,,,,3.57,3.625,,,,0.465,0.4375,0.25,0.359,0.375,,,,0.813,0.8125,,,0.915,,,0.394,4.97,,,,,6.45,2.12,1.85,1.02,0.915,1.14,1.17,0.642,0.673,,,,0.181,0.0772,,,,,,,,1.35,0.705,,,,,,,,,,,,,,,,,,,,,,,,
ST,ST3X6.25,ST3X6.25,6.25,1.83,3.0,3.0,,,,3.33,3.375,,,,0.232,0.25,0.125,0.359,0.375,,,,0.813,0.8125,,,0.692,,,0.271,4.64,,,,,12.9,1.26,1.01,0.547,0.831,0.901,0.93,0.541,0.702,,,,0.083,0.0197,,,,,,,,1.2,0.819,,,,,,,,,,,,,,,,,,,,,,,,
ST,ST2.5X5,ST2.5X5,5.0,1.46,2.5,2.5,,,,3.0,3.0,,,,0.214,0.1875,0.125,0.326,0.3125,,,,0.75,0.75,,,0.57,,,0.239,4.6,,,,,11.7,0.671,0.65,0.348,0.677,0.597,0.686,0.398,0.638,,,,0.0568,0.01,,,,,,,,1.02,0.839,,,,,,,,,,,,,,,,,,,,,,,,
ST,ST2X4.75,ST2X4.75,4.75,1.4,2.0,2.0,,,,2.8,2.75,,,,0.326,0.3125,0.1875,0.293,0.3125,,,,0.75,0.75,,,0.553,,,0.25,4.78,,,,,6.13,0.462,0.592,0.319,0.575,0.444,0.565,0.317,0.564,,,,0.059,0.00995,,,,,,,,0.903,0.797,,,,,,,,,,,,,,,,,,,,,,,,
ST,ST2X3.85,ST2X3.85,3.85,1.13,2.0,2.0,,,,2.66,2.625,,,,0.193,0.1875,0.125,0.293,0.3125,,,,0.75,0.75,,,0.448,,,0.204,4.54,,,,,10.4,0.307,0.381,0.198,0.522,0.374,0.485,0.281,0.576,,,,0.0364,0.00457,,,,,,,,0.834,0.869,,,,,,,,,,,,,,,,,,,,,,,,
