Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS50.8X25.4X3.2,HSS50.8X25.4X3.2,3.26,392,,,50.8,41.9,,,,25.4,16.6,,,,,,,,3.18,2.95,,,,,,,,,,,5.62,,14.2,,0.117,6.0,4.59,17.2,0.0384,3.65,3.02,9.91,,,,99.1,,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS508X12.7,HSS508X12.7,155.0,18400,,,,,508.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,43.0,566.0,2900.0,2230.0,176.0,566.0,2900.0,2230.0,176.0,,,,1130000.0,,4460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS508X9.5,HSS508X9.5,117.0,13900,,,,,508.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,57.3,433.0,2210.0,1700.0,177.0,433.0,2210.0,1700.0,177.0,,,,866000.0,,3410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS457.2X12.7,HSS457.2X12.7,139.0,16500,,,,,457.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,38.7,410.0,2340.0,1790.0,157.0,410.0,2340.0,1790.0,157.0,,,,820000.0,,3590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS457.2X9.5,HSS457.2X9.5,105.0,12500,,,,,457.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,51.6,314.0,1790.0,1370.0,158.0,314.0,1790.0,1370.0,158.0,,,,629000.0,,2750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X15.9,HSS406.4X15.9,153.0,18100,,,,,406.0,,,,,,,,,,,,15.9,14.8,,,,,,,,,,,,,,27.5,349.0,2260.0,1720.0,139.0,349.0,2260.0,1720.0,139.0,,,,699000.0,,3420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X12.7,HSS406.4X12.7,123.0,14600,,,,,406.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,34.4,285.0,1840.0,1400.0,139.0,285.0,1840.0,1400.0,139.0,,,,570000.0,,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X11.1,HSS406.4X11.1,108.0,12800,,,,,406.0,,,,,,,,,,,,11.1,10.3,,,,,,,,,,,,,,39.3,252.0,1620.0,1240.0,140.0,252.0,1620.0,1240.0,140.0,,,,504000.0,,2490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X9.5,HSS406.4X9.5,93.2,11100,,,,,406.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,45.8,219.0,1400.0,1080.0,140.0,219.0,1400.0,1080.0,140.0,,,,437000.0,,2150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X7.9,HSS406.4X7.9,77.9,9290,,,,,406.0,,,,,,,,,,,,7.94,7.39,,,,,,,,,,,,,,55.0,184.0,1180.0,908.0,141.0,184.0,1180.0,908.0,141.0,,,,369000.0,,1820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS406.4X6.4,HSS406.4X6.4,62.6,7420,,,,,406.0,,,,,,,,,,,,6.35,5.92,,,,,,,,,,,,,,68.7,149.0,949.0,734.0,142.0,149.0,949.0,734.0,142.0,,,,298000.0,,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS355.6X15.9,HSS355.6X15.9,133.0,15800,,,,,356.0,,,,,,,,,,,,15.9,14.8,,,,,,,,,,,,,,24.1,230.0,1720.0,1290.0,121.0,230.0,1720.0,1290.0,121.0,,,,458000.0,,2590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS355.6X12.7,HSS355.6X12.7,107.0,12800,,,,,356.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,30.1,189.0,1400.0,1060.0,122.0,189.0,1400.0,1060.0,122.0,,,,378000.0,,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS355.6X9.5,HSS355.6X9.5,81.3,9680,,,,,356.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,40.1,145.0,1070.0,816.0,123.0,145.0,1070.0,816.0,123.0,,,,291000.0,,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS355.6X7.9,HSS355.6X7.9,67.9,8060,,,,,356.0,,,,,,,,,,,,7.94,7.39,,,,,,,,,,,,,,48.1,123.0,896.0,690.0,123.0,123.0,896.0,690.0,123.0,,,,245000.0,,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS355.6X6.4,HSS355.6X6.4,54.7,6520,,,,,356.0,,,,,,,,,,,,6.35,5.92,,,,,,,,,,,,,,60.1,99.5,724.0,559.0,124.0,99.5,724.0,559.0,124.0,,,,199000.0,,1120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS323.9X12.7,HSS323.9X12.7,97.4,11500,,,,,324.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,27.4,141.0,1150.0,872.0,110.0,141.0,1150.0,872.0,110.0,,,,282000.0,,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS323.9X9.5,HSS323.9X9.5,73.8,8770,,,,,324.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,36.5,109.0,880.0,672.0,112.0,109.0,880.0,672.0,112.0,,,,218000.0,,1350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS323.9X6.4,HSS323.9X6.4,49.7,5910,,,,,324.0,,,,,,,,,,,,6.35,5.92,,,,,,,,,,,,,,54.7,74.9,598.0,462.0,113.0,74.9,598.0,462.0,113.0,,,,149000.0,,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS273.1X12.7,HSS273.1X12.7,81.5,9680,,,,,273.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,23.1,82.8,806.0,606.0,92.5,82.8,806.0,606.0,92.5,,,,166000.0,,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS273.1X9.5,HSS273.1X9.5,61.9,7350,,,,,273.0,,,,,,,,,,,,9.53,8.86,,,,,,,,,,,,,,30.8,64.1,619.0,470.0,93.5,64.1,619.0,470.0,93.5,,,,129000.0,,941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS273.1X6.4,HSS273.1X6.4,41.8,4970,,,,,273.0,,,,,,,,,,,,6.35,5.92,,,,,,,,,,,,,,46.1,44.1,423.0,324.0,94.5,44.1,423.0,324.0,94.5,,,,88700.0,,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS254X15.9,HSS254X15.9,93.2,11100,,,,,254.0,,,,,,,,,,,,15.9,14.8,,,,,,,,,,,,,,17.2,79.5,846.0,628.0,84.8,79.5,846.0,628.0,84.8,,,,159000.0,,1260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS254X12.7,HSS254X12.7,75.6,8970,,,,,254.0,,,,,,,,,,,,12.7,11.8,,,,,,,,,,,,,,21.5,66.2,693.0,519.0,85.9,66.2,693.0,519.0,85.9,,,,132000.0,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
